Name,AltName,Region,Province,City,Established,Established_Year,Specialisation,Address,Phone,PrimaryEmail,SecondaryEmail,Column24
Museum Anatomy Fakultas Kedokteran Universitas Indonesia,Anatomy Museum of the University of Indonesia' Faculty of Medicine,Java,Special Capital Region of Jakarta,Central Jakarta,,,Medical,"Fakultas Kedokteran Universitas Indonesia
Salemba Raya 6
Jakarta 10430
Indonesia
PO.BOX 1358
"," +62 (021) 319 30373
Fax +62 (021) 319 30373
",humas@fk.ui.ac.id,,
Museum Jenderal Besar Dr. Abdul Haris Nasution,The Great General Dr. Abdul Haris Nasution Museum,Java,Special Capital Region of Jakarta,Central Jakarta,"Dec 3, 2008",2008,Indonesian history,,,,,
Museum Kebangkitan Nasional,Museum of National Awakening,Java,Special Capital Region of Jakarta,Central Jakarta,"Feb 7, 1984",1984,Indonesian history,"Jl. Abdul Rachman Saleh No.26
Senen
Jakarta 10410
Indonesia
", +62 (021) 384 7975,,,"www.museumkebangkitannasional.go.id/
"
Museum Pers ANTARA,,Java,Special Capital Region of Jakarta,Central Jakarta,,,Indonesian history,"Jl. Antara Pasar Baru 
Jakarta
Indonesia
", +62 (021) 345 8771,,,
Museum Perumusan Naskah Proklamasi,Museum of the Declaration of Independence,Java,Special Capital Region of Jakarta,Central Jakarta,"Nov 24, 1992",1992,Indonesian history,"Jl. Imam Bonjol No. 1
Menteng
Jakarta 10310
Indonesia
"," +62 (021) 314 4743
Fax +62 (021) 392 4259
",,,http://www.munasprok.com/home
Museum Puri Bhakti Renatama,,Java,Special Capital Region of Jakarta,Central Jakarta,"Aug 28, 1971",1971,Indonesian history,,,,,
National Gallery of Indonesia,,Java,Special Capital Region of Jakarta,Central Jakarta,"May 8, 1999",1999,Fine arts,"Jl. Medan Merdeka Timur 14
Jakarta 10110
Indonesia
"," +62 (021) 348 33954; 3813021  +62 (021) 348 33955 
Fax +62 (021) 381 3021
",galnas@indosat.net.id,,http://galeri-nasional.or.id/?isi=404
Museum Gajah,National Museum,Java,Special Capital Region of Jakarta,Central Jakarta,1868,1868,"Indonesian history, ethnography, geology and archaeology","Jl. Medan Merdeka Barat No.12
Jakarta 10110
Indonesia
", +62 (021) 386 8172,,,http://www.museumnasional.or.id/
Museum Sasmita Loka Jenderal Ahmad Yani,Museum of General Ahmad Yani,Java,Special Capital Region of Jakarta,Central Jakarta,,,Indonesian history,,,,,
Museum Sumpah Pemuda,Museum of the Youth Pledge,Java,Special Capital Region of Jakarta,Central Jakarta,"May 20, 1974",1974,Indonesian history,"Jl. Kramat Raya No.106
Jakarta 10420
Indonesia
", +62 (021) 310 3217,,,"www.museumsumpahpemuda.go.id/
"
Taman Prasasti Museum,Museum of Memorial Stone Park,Java,Special Capital Region of Jakarta,Central Jakarta,"Jul 9, 1977",1977,Open air,"Jl. Tanah Abang I No.1
Kelurahan Petojo Selatan
Kecamatan Gambir
Jakarta 10160
Indonesia
", +62 (021) 385 4060,,,
"Museum TNI AL ""Loka Jala Srana""",,Java,Special Capital Region of Jakarta,East Jakarta,,,Unknown,,,,,
Museum of PKI Treason,Museum of Communist Party Treason,Java,Special Capital Region of Jakarta,East Jakarta,1990,1990,Indonesian history,,,,,
Taman Mini Indonesia Indah,"Beautiful Little Garden of Indonesia
* Museum of Natural Gas and Oil
* Museum of Transportation
* Indonesian Komodo Museum
* Museum of Electricity and New Energy
* Museum of Telecommunication
* Lighting Museum
* Museum Istiqlal
* Military Museum
* Insect Museum and Butterfly Park
* Asmat Museum
* Sports Museum
* Museum of Timor Timur
* Purna Bhakti Pertiwi Museum
* Stamp Museum
* Indonesia Museum
* Heirloom Museum",Java,Special Capital Region of Jakarta,East Jakarta,,,Various,"Komplek Taman Mini Indonesia Indah
Cipayung
Jakarta 13550
Indonesia
", +62 (021) 837 03836,,,http://www.tamanmini.com/museum.php
Basoeki Abdullah Museum,,Java,Special Capital Region of Jakarta,South Jakarta,"May 25, 2001",2001,Fine arts,"Jl. Keuangan Raya No. 19 
Cilandak 
Jakarta 
Indonesia
", +62 (021) 769 8926,,,http://museumbasoekiabdullah.or.id/index.php/web/home
Harry Dharsono Museum,,Java,Special Capital Region of Jakarta,South Jakarta,,,Textiles,"Jl. Cilandak Tengah No.71
Cilandak
Jakarta 12430
Indonesia
", +62 (0812) 9656 0000,,,
Museum Layang-Layang,Kite Museum,Java,Special Capital Region of Jakarta,South Jakarta,"Mar 21, 2003",2003,Kites,"Jl H. Kamang No.38
Pondok Labu
Jakarta 12450
"," +62 (021) 765 8075, (021) 7590 4863
Fax +62 (021 ) 7590 4863
",museumlayanglayangindonesia@gmail.com,,https://sites.google.com/site/museumlayanglayangindonesia/#_=_
Museum Kriminal,Criminal Museum,Java,Special Capital Region of Jakarta,South Jakarta,,,Indonesian history,"Jl. Trunojoyo No. 3
Kebayoran Baru
Jakarta
Indonesia
", +62 (021) 7011 2652,,,
Museum Manggala Wanabhakti,,Java,Special Capital Region of Jakarta,South Jakarta,,,Forestry,"JL. Gatot Subroto
Senayan, Jakarta
Indonesia
"," +62 (021) 570 3246/3265 
Fax +62 (021) 570 1147
",wanabakti@manggala.or.id,,http://www.manggala.or.id/Museum/Home
Museum Polri,Museum of the Police of Indonesia,Java,Special Capital Region of Jakarta,South Jakarta,,,Police,"Jalan Trunojoyo No.3
Kebayoran Baru
 Jakarta 12110
Indonesia
", +62 (021) 721 0654,,,http://www.museum.polri.go.id/
Reksa Artha Museum,,Java,Special Capital Region of Jakarta,South Jakarta,"May 8, 1999",1999,Money Printing,"Jl. Lebak Bulus No. 1 
Lebak Bulus Cilandak 
Jakarta 12440
Indonesia
", +62 (021) 769 2089,,,
Satrian Mandala Museum,,Java,Special Capital Region of Jakarta,South Jakarta,"Oct 5, 1972",1972,History (military),"Jl. Jenderal Gatot Subroto
Jakarta
Indonesia
", +62 (021) 522 7946,,,
Waspada Purbawisesa Museum,,Java,Special Capital Region of Jakarta,South Jakarta,1987,1987,History,"Jl. Jenderal Gatot Subroto
Jakarta
Indonesia
", +62 (021) 522 7946,,,
Affandi Museum,,Java,Yogyakarta Special Region,Yogyakarta,,,Art,"Jl. Laksda Adisucipto 167 
Yogyakarta 55281 
Indonesia
"," +62 (0274) 562 593
Fax +62 (0274) 562 593
","affandimuseum@yahoo.com
",museumaffandi@gmail.com,http://www.affandi.org/
Dewantara Kirti Griya Museum,,Java,Yogyakarta Special Region,Yogyakarta,"May 2, 1970",1970,History,"JL. Tamansiswa, No. 31
Yogyakarta
Indonesia
", +62 (0274) 377 459,,,
Dharma Wiratama Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Aug 30, 1982",1982,History (military),"Jl. Jendral Sudirman No. 75
Yogyakarta
Indonesia
", +62 (0274) 561 417,,,
Fort Vredeburg Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Nov 23, 1992",1992,History,"Jl. Jenderal Ahmad Yani 6
Yogyakarta 55121
Indonesia
", +62 (0274) 586 934,,,
Diponegoro Monument Museum,,Java,Yogyakarta Special Region,Yogyakarta,,,History,,,,,
Hamengkubuwono IX Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Nov 18, 1990",1990,History,"Jl. Rotowijayan 1
Yogyakarta 55133
Indonesia
", +62 (0274) 373 721,,,
Museum Dirgantara Mandala,,Java,Yogyakarta Special Region,Yogyakarta,"Apr 4, 1969",1969,History (military),"Kompleks Landasan Udara Adisucipto
Yogyakarta 55281
Indonesia
", +62 (0274) 484 453,,,http://tni-au.mil.id/content/museum-pusat-tni-au-dirgantara-mandala
"Museum Batik ""Ciptowening""",,Java,Yogyakarta Special Region,Yogyakarta,,,Textiles,"Desa Ketandan Tengah
Wukirsari, Imogiri
Yogyakarta
Indonesia
", +62 (274) 753 031,,,
Museum Karbol TNI Angkatan Udara,,Java,Yogyakarta Special Region,Yogyakarta,,,History (military),,,,,
Museum Kayu Wanagama,Wood Museum of Wanagama,Java,Yogyakarta Special Region,Yogyakarta,1995,1995,Memorabilia,"Jl. Jogja - Wonosari Km 30 
Banaran Playen Gunung Kidul
Yogyakarta
Indonesia
", +62 (0274) 545639,,,http://wanagama.museumjogja.org/id
"Museum of Biology, Gadjah Mada University",,Java,Yogyakarta Special Region,Yogyakarta,"Jan 1, 1970",1970,Biology,"Jl. Sultan Agung 22
Yogyakarta
Indonesia
", +62 (0274) 376-740 ,,,
Museum of Geotechnology and Mineral,,Java,Yogyakarta Special Region,Yogyakarta,"Feb 17, 1988",1988,Geology,"UPN Veteran's University campus
Jl. Babarsari No. 2, Tambak Bayan
Yogyakarta
", +62 (0274) 4886 991,,,
Museum Pergerakan Wanita,,Java,Yogyakarta Special Region,Yogyakarta,"Dec 22, 1983",1983,Indonesian history,"Mandala Bhakti Wanitatama Building
Jl. Laksda Adisucipto 88
", +62 (0274) 587 818,,,http://pergerakanwanita.museumjogja.org/id
Museum Perjuangan Yogyakarta,,Java,Yogyakarta Special Region,Yogyakarta,1961,1961,Indonesian history,"Jl. Kolonel Sugiyono No. 24
Yogyakarta
Indonesia
", +62 (0274) 387 576,,,
Museum Purbakala Pleret,,Java,Yogyakarta Special Region,Yogyakarta,2004,2004,Indonesian history,"Jl.Raya Pleret, Kedaton, Pleret 
Pleret, Bantul 
Yogyakarta 
", +62 (0857) 1333 3977,,,http://pleret.museumjogja.org/id/page/8-Tentang-Museum
Museum Puro Pakualaman,,Java,Yogyakarta Special Region,Yogyakarta,"Jan 28, 1981",1981,History,"Jl. Sultan Agung
Yogyakarta
Indonesia
", +62 (0274) 372 161,,,
"Museum R.S. Mata ""Dr. Yap""",,Java,Yogyakarta Special Region,Yogyakarta,1997,1997,History (medicine),"Jl. Cik Ditiro No. 5
Yogyakarta 55223
Indonesia
", +62 (0274) 562 054,,,"www.rsmyap.com/content/view/39/1/
"
Nyoman Gunarsa Museum,,Lesser Sunda Islands, Bali,Klungkul,1994,1994,Art,"Jl. Pertigaan Banda no 1
Takmung, Banjarangkan, Klungkung
Bali 80716
Indonesia
", +62 (0623) 662 2256,,,http://www.nyomangunarsamuseum.com/
Museum Tani Jawa,Farming Museum of Java,Java,Yogyakarta Special Region,Yogyakarta,"May 4, 2007",2007,Farming,"Candran, Kebonagung, 
Imogiri, Bantul, 
Yogyakarta
Indonesia
"," +62 (0274) 786 5311,  +62 (0274) 789 2762",,,http://tanijawa.museumjogja.org/id/page/8-Tentang-Museum
Prambanan Museum,,Java,Yogyakarta Special Region,Yogyakarta,,,History,"Jalan Jogja-Solo Km. 16 
Prambanan, Yogyakarta 55282
Indonesia
", +62 (0274) 496 402,,,
Sonobudoyo Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Nov 6, 1935",1935,Indonesian history,"Jalan Trikora 6 
Yogyakarta
Indonesia.
", +62 (0274) 376 775,,,http://www.sonobudoyo.com/id
Sudirman Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Aug 30, 1982",1982,History,"Jl. Bintaran Wetan No. 3
Yogyakarta
Indonesia
", +62 (0274) 376 663,,,
Museum Anak Kolong Tangga,,Java,Yogyakarta Special Region,Yogyakarta,2008,2008,Collectibles,"Jl. Sriwedani No. 1 
Gedung Taman Budaya Lt. 2
Yogyakarta
Indonesia
"," +62 (0811) 263 3977
",untuk_semua_anak@yahoo.com,,http://kolongtangga.blogspot.com/p/about-us.html
Tembi Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Oct 21, 1999",1999,History,"Jl. Parangtritis Km 8.4
Desa Tembi, Kel. Timbulharjo, Kec. Sewon, Bantul
Yogyakarta 55186
Indonesia
", +62 (0274) 368 000,,,http://www.tembi.net/
Ullen Sentalu Museum,,Java,Yogyakarta Special Region,Yogyakarta,1994,1994,History and art,"Jl. Boyong Km 25
Kaliurang Barat, Sleman
Yogyakarta
Indonesia
", +62 (0274) 895 161,,,http://ullensentalu.com/
Wayang Kekayon Museum,,Java,Yogyakarta Special Region,Yogyakarta,1975,1975,Traditional arts,"Jl. Jogjakarta - Wonosari No. 277, Km. 7
Yogyakarta
Indonesia
"," +62 (0274) 379 058,  +62 (0274) 513 218",,,
Yogya Kembali Museum,,Java,Yogyakarta Special Region,Yogyakarta,"Jun 29, 1985",1985,Indonesian history and monument,"Dusun Jongkang, Sariharjo, Kec. Sleman
Yogyakarta 55284
Indonesia
", +62 (0274) 868 225,,,
Yogyakarta Batik Museum,,Java,Yogyakarta Special Region,Yogyakarta,1979,1979,Textiles,"Jl. Dr Sutomo 13 A RT 049 RW 12 
Bausasran Danurejan Yogyakarta 
Yogyakarta
Indonesia
", +62 (0274) 562 338,,,http://www.museumbatik.com/
"Museum Pusat TNI AU ""Dirgantara Mandala""",,Java,Yogyakarta Special Region,Yogyakarta,"Apr 4, 1969",1969,Aviation,"Adisucipto Airport Complex
Yogyakarta
Indoensia
"," +62 (0274) 484 453,  +62 (0274) 513 218",,,http://tni-au.mil.id/content/museum-pusat-tni-au-dirgantara-mandala
Museum Merapi,,Java,Yogyakarta Special Region,Yogyakarta,"Oct 1, 2009",2009,Merapi Volcano,"Banten Hamlet
Hargobinangun Village
Pakem - Sleman
Yogyakarta
Indonesia
", +62 (0812) 275 66370,,,
Royal Carriage Museum,,Java,Yogyakarta Special Region,Yogyakarta,,,Carriages,"Jl. Rotowijayan No. 2
Yogyakarta
Indonesia
", +62 (0274) 373 721,,,
Gula Museum,,Java,Yogyakarta Special Region,Klaten,,,History,"Pabrik Gula Gondang Baru
Jalan Raya Jogja - Solo Km. 25
Klaten
Indonesia
", +62 (0272) 322 328,,,
Museum Universitas Pelita Harapan,Pelita Harapan University Museum,Java, Banten,"Tangerang, Banten","Jun 15, 1905",1905,Fine arts,"Menara Matahari lantai 3 Jl. 
Boulevard Palem Raya No. 7
Lippo Village, Tangerang
Banten 15811
Indonesia
"," (021) 547 5585/7
","museum.uph@gmail.com
  ",,"http://www.uph.edu/id/fasilitas/museum-uph.html
"
Benteng Heritage Museum,,Java, Banten,"Tangerang, Banten","Nov 11, 2011",2011,History,"Museum Benteng Heritage:
Jl. Cilame nomor 20, Pasar Lama
Tangerang 15118, Banten
Indonesia
"," +62 (021) 5579 1139, +62 (021) 4454 4529

",info@bentengheritage.com,,http://www.bentengheritage.com/
Amerta Dirgantara Museum,,Java,West Java,Subang,"Apr 10, 1982",1982,Aviation,,,,,
Asian-African Conference Museum,,Java,West Java,Bandung,"Apr 24, 1980",1980,History," Jalan Asia Afrika No. 65
Bandung 40111
Indonesia
", +62 (022) 423 3564,,,http://asianafricanmuseum.org/en/#_=_
Bandung Geological Museum,,Java,West Java,Bandung,"May 16, 1928",1928,Geology," Jl. Diponegoro No.57
Bandung 40122
Jawa Barat
Indonesia
", +62 (022) 721 3822,,,http://www.bgl.esdm.go.id/
Barli Museum,,Java,West Java,Bandung,"Oct 26, 1992",1992,Art,"Jl. Prof. Ir. Sutami No. 91
Sukasari, Sukarasa
Bandung, Jawa Barat
Indonesia
", +62 (022) 201 1898,,,http://www.museumbarli.com/
Bogor Zoological Museum,,Java,West Java,Bogor,August 1894,1894,Zoology,"Jalan Juanda no 1
Bogor 16122
Indonesia
", +62 (0251) 321 001  ,,,
Ethnobotanical Museum,,Java,West Java,Bogor,"May 18, 1982",1982,Ethnobotany,"Jl. Ir. H. Juanda No. 24
Bogor 
Indonesia
", +62 (0251) 832 2035,,,
Indonesia Post Museum,,Java,West Java,Bandung,1931,1931,History (postal),"Jalan Cilaki No. 37
Bandung 40115
Indonesia
", +62 (022) 420 6195,,,
Kraton Kacirebonan Museum,,Java,West Java,Cirebon,,,History,"Jl. Keraton Kasepuhan, No. 43
Cirebon
Indonesia
", +62 (0231) 209 607,,,
Museum Kereta Singa Barong,,Java,West Java,Cirebon,,,History,,,,,
Museum Benda Kuno,,Java,West Java,Cirebon,,,History,"Kasepuhan Palace
Jl. Kasepuhan No. 43
Cirebon 45114
Indonesia
"," +62 231 225511
",keratonkasepuhan@gmail.com,,http://royalkasepuhancirebon.com/museum-benda-kuno/
Museum Linggarijati,,Java,West Java,Kuningan,1976,1976,History,,,,,
Museum Palagan B. Kokosan,,Java,West Java,Sukabumi,1992,1992,History and memorial,,,,,
Museum PETA,,Java,West Java,Bogor,"Dec 18, 1995",1995,History,"Jalan Jenderal Sudirman, No. 35
Bogor 16121
Indonesia
", +62 (0818) 0641 6353,,,
Museum Bank Indonesia,,Java,West Java,Bandung,"Aug 7, 2009",2009,Economics and numismatics,"JL Braga, No. 108
Bandung
Indonesia
", +62 (022) 423 8575,,,
Museum Perjuangan Jawa Barat,,Java,West Java,Bandung,"Aug 23, 1995",1995,History,,,,,
Museum Prabu Geusan Ulun,,Java,West Java,Purwakarta,,,History," Jl. Prabu Geusan Ulun No. 40 B
Srimanganti, Sumedang
Purwakarta
Indonesia
", +62 (0261) 201 714,,,http://museumgeusanulun.blogspot.com/
Museum Tanah Nasrel,,Java,West Java,Bogor,"Sep 29, 1988",1988,Agriculture,"Jl. Ir H. Juanda No. 98
Bogor
Indonesia
", +62 (0251) 323 012,,,
Percandian Batujaya Museum,,Java,West Java,Karawang,,,Monument,,,,,
Sri Baduga Museum,,Java,West Java,Bandung,"Jun 5, 1980",1980,"Natural history, ethnography, and archaeology","Jl. BKR No.185
Bandung 40243
Indonesia
", +62 (022) 521 0976,,,http://www.bandungtourism.com/tododet.php?q=Museum%20Sri%20Baduga
Tambaksar's Site Museum,,Java,West Java,Ciamis,2001,2001,Archaeology,,,,,
Wangsit Mandala Siliwangi Museum,,Java,West Java,Bandung,"May 23, 1966",1966,History,"Jl. Lembong No. 38
Braga 40181
Indonesia
", +62 (022) 420 3393,,,
Ambarawa Railway Museum,,Java,Yogyakarta Special Region,Ambarawa,"Oct 6, 1976",1976,History (railway),,,,,
"Karmawibhangga Museum, Borobudur",,Java,Central Java,Magelang,1983,1983,Archaeology," Jl. Badrawati
Borobudur
Magelang 56553
Indonesia
", +62 (0293) 788 266,,,http://www.konservasiborobudur.org
Samudra Raksa Museum,,Java,Central Java,Magelang,"Aug 31, 2005",2005,Maritime history," Jl. Badrawati
Borobudur
Magelang 56553
Indonesia
", +62 (0293) 788 266,,,
Danar Hadi Batik Museum,,Java,Central Java,Surakarta,2008,2008,Textiles,"Jl. Brigjen Slamet Riyadi
Surakarta 57141
Indonesia
", +62 (0271) 714 326,,,
Indonesian World Records Museum,,Java,Central Java,Semarang,"Jan 27, 1990",1990,Memorabilia,"Jalan Perintis Kemerdekaan 275
Semarang 50132
Indonesia
"," +62 (247) 475 172
",info@muri.org,,http://www.muri.org/
Keraton Surakarta Museum,,Java,Central Java,Surakarta,,,History,,,,,
Kretek Museum,,Java,Central Java,Semarang,"Oct 3, 1986",1986,History (kretek),"Jl. Getas Pejaten
Semarang
Indonesia
", +62 (0291) 440 545,,,http://www.djarum.com/history-of-kretek/kretek-museum/
Pekalongan Batik Museum,,Java,Central Java,Pekalongan,"Jul 12, 1972",1972,Textiles and heritage,"Jl. Jetayu No.1
Pekalongan 51152
Indonesia
"," +62 (0285) 431 698
Fax: +62 (0285) 423 221
",Museum.batik@yahoo.com ,,http://museumbatikpekalongan.info/
Radya Pustaka Museum,,Java,Central Java,Surakarta,"October 28, 1890",1890,History and heritage,,,,,
Ranggawarsita State Museum,,Java,Central Java,Semarang,"Jul 5, 1989",1989,History and heritage,"Jl. Abdulrahman Saleh No. 1
Kalibanteng Kulon
Semarang
", +62 (024) 760 2389,,,http://museum-ranggawarsita.jatengprov.go.id/
Sangiran Archaeology Museum,,Java,Central Java,Sangiran,2011,2011,Archaeology,,,,,
Airlangga Museum,,Java,East Java,Kediri,"Feb 6, 1992",1992,History and archaeology,"JL. Mastrip, No. 01
Goro, Wojoroto
Kediri
Indonesia
", +62 (0354) 773 157,,,
10th November Museum,,Java,East Java,Surabaya,2000,2000,History,"Jalan Pahlawan
Surabaya 
Indonesia
", +62 (031) 357 1100,,,
Museum Bank Indonesia,,Java,East Java,Surabaya,"Jan 27, 2012",2012,Economics and numismatics,,,,,
Museum House of Sampoerna,,Java,East Java,Surabaya,,,History (cigarette)," Taman Sampoerna 6
Surabaya 60163
Indonesia
", +62 (031) 353 9000,,,http://houseofsampoerna.museum/
Health Museum of Dr. Adhyatma,,Java,East Java,Surabaya,"Sep 14, 2004",2004,History (health),"Indrapura 17
Surabaya 60176
Indonesia
"," +62 (031) 352 8748 ext 105
Fax: +62 (031) 352 8749
",infocenter_sisjakkes@yahoo.com,,
Brawijaya Museum,,Java,East Java,Malang,"May 4, 1968",1968,History,,,,,
Museum Malang Tempo Doeloe,,Java,East Java,Malang,"Oct 22, 2012",2012,History,"Jl. Gajahmada
Malang 65119
Indonesia
", +62 (0341) 680 2301,,,
Museum Mpu Tantular,,Java,East Java,Buduran Sidoarjo,"May 14, 2004",2004,History and memorabilia,"Jl. Raya Buduran - Jembatan Layang
Sidoarjo 61252 
"," +62 (031) 805 6688
Fax: +62 (031) 805 6688
",mputantular68@yahoo.com ,,http://www.museum-mputantular.com/
Trowulan Museum,,Java,East Java,Trowulan,1987,1987,History,"Jalan Pendo Agung
Desa Trowulan
Mojokerta
Indonesia
", +62 (0321) 494 313,,,
Agung Rai Museum of Art,,Lesser Sunda Islands, Bali,Ubud,"Jun 9, 1996",1996,Art,,,,,http://www.armabali.com/museum/
Bali Museum,,Lesser Sunda Islands, Bali,Denpasar,"Dec 8, 1932",1932,Art and history,"Jl. Mayor Wisnu No.1
Denpasar, Bali 80232
Indonesia
", +62 (0361) 222 680,,,
Blanco Renaissance Museum,,Lesser Sunda Islands, Bali,Ubud,1999,1999,Art,"Jalan Raya Penestanan
Ubud, Bali
Indonesia
", +62 (0361) 975 502,,,http://blancomuseum.com/
Buleleng Museum,,Lesser Sunda Islands, Bali,Singaraja,"Mar 30, 2002",2002,History,"Jl. Veteran No. 23
Singaraja, Bali
Indonesia
", +62 (0362) 21141,,,
Eka Karya Botanic Garden,,Lesser Sunda Islands, Bali,Bedugul,"Jul 15, 1959",1959,Botanical,"Candikuning, Baturiti
Tabanan, Bali 82191
Indonesia
"," +62 (368) 203 3211 
Fax. +62 (368) 203 3171",,,http://www.kebunrayabali.com/id/index.php
Le Mayeur Museum,,Lesser Sunda Islands, Bali,Sanur,,,Art and history,"Jl. Hang Tuah
Sanur, Bali
Indonesia
", +62 (0361) 286 201,,,
Museum Pasifika,,Lesser Sunda Islands, Bali,Kuta,2006,2006,Art,"Complex Bali Tourism Development Corporation (BTDC) Area Block P
Kuta Selatan, Bali 80363
Indonesia
", +62 (0361) 774 935,,,http://www.museum-pasifika.com/
Museum Rudana,,Lesser Sunda Islands, Bali,Ubud,"August 11, 1995",1995,Art,"Jalan Cok Rai Pudak no. 44
Peliatan, Ubud, Gianyar
Indonesia
", +62 (0361) 975 779,,,http://www.museumrudana.org/
Museum Semarajaya,,Lesser Sunda Islands, Bali,Klungkung,"Apr 28, 1992",1992,Archaeology,,,,,
Neka Art Museum,,Lesser Sunda Islands, Bali,Ubud,"Jul 7, 1982",1982,Art,"Jalan Raya Sanggingan Campuhan 
Ubud, Bali 80571
Indonesia
", +62 (0361) 975 074,,,http://www.museumneka.com/
Purbakala Archaeological Museum,,Lesser Sunda Islands, Bali,Bedulu,"Sep 14, 1974",1974,Archaeology,"Jl. Raya Tampaksiring
Bedulu, Bali
Indonesia
", +62 (0361) 942 354,,,
Puri Lukisan Museum,,Lesser Sunda Islands, Bali,Gianyar,1956,1956,Art," Jl. Raya Ubud, 
Kabupaten Gianyar, Bali 80571
Indonesia
", +62 (0361) 971 159,,,http://museumpurilukisan.com/
West Nusa Tenggara State Museum,,Lesser Sunda Islands, West Nusa Tenggara,Mataram,1981,1981,"Art, history, ethnography, geology, and archaeology","Jl. Panji Tilar Negara No.6
Kec. Mataram, Nusa Tenggara Bar.
Indonesia
", +62 (0370) 632 159,,,
East Nusa Tenggara State Museum,,Lesser Sunda Islands, East Nusa Tenggara,Kupang,1977,1977,"Art, history, ethnography, geology, and archaeology","Jalan Raya Eltari II Kota Baru
Kupang, NTT
Indonesia
"," +62 (038) 083 2471
Fax: +62 (038) 083 2471",,,
Aceh Museum,,Sumatra, Aceh,Aceh,"Aug 31, 1915",1915,Ethnography,,,,,
Aceh Tsunami Museum,,Sumatra, Aceh,Aceh,2009,2009,Memorial,,,,,http://museumtsunami.blogspot.tw/
Museum Malikussaleh,,Sumatra, Aceh,Lhokseumawe,,,History,,,,,
Batak Museum,,Sumatra, North Sumatra,Balige,,,History and ethnography,"Jl. DR. Tb Silalahi No. 88
Desa Pagar Batu, Kec. Balige
Toba Samosir, Sumatra 22312
Indonesia
", +62 (0632) 21588,,,http://www.tbsilalahicenter.com/
Museum Joang '45,,Sumatra, North Sumatra,Medan,,,History,,,,,
Museum Perjuangan TNI Kodam I Bukit Barisan,,Sumatra, North Sumatra,Medan,1928,1928,"History, archaeology, and art","Jalan Zainul Arifin No. 8
Kelurahan Petisah, Kecamatan Petisah,
Kabupaten/Kota Medan, Sumatra
Indonesia
", +62 (061) 455 6927,,,
